,Film,Year,Award,Nomination
559,The Trip to Bountiful,1985,1,2
560,White Nights,1985,1,2
561,Anna &amp; Bella,1985,1,1
562,Broken Rainbow,1985,1,1
563,Mask,1985,1,1
564,Molly's Pilgrim,1985,1,1
565,Witness to War: Dr. Charlie Clements,1985,1,1
566,Amadeus,1984,8,11
567,The Killing Fields,1984,3,7
568,A Passage to India,1984,2,11
569,Places in the Heart,1984,2,7
570,Indiana Jones and the Temple of Doom,1984,1,2
571,Charade,1984,1,1
572,Dangerous Moves,1984,1,1
573,Purple Rain,1984,1,1
574,The Stone Carvers,1984,1,1
575,The Times of Harvey Milk,1984,1,1
576,Up,1984,1,1
577,The Woman in Red,1984,1,1
578,The River,1984,0 (1),4
579,Terms of Endearment,1983,5,11
580,The Right Stuff,1983,4,8
581,Fanny &amp; Alexander,1983,4,6
582,Tender Mercies,1983,2,5
583,Yentl,1983,1,5
584,Flashdance,1983,1,4
585,Boys and Girls,1983,1,1
586,Flamenco at 5:15,1983,1,1
587,He Makes Me Feel Like Dancin',1983,1,1
588,Sundae in New York,1983,1,1
589,The Year of Living Dangerously,1983,1,1
590,Return of the Jedi,1983,0 (1),4
591,Gandhi,1982,8,11
592,E.T.: The Extra-Terrestrial,1982,4,9
593,An Officer and a Gentleman,1982,2,6
594,Tootsie,1982,1,10
595,Victor/Victoria,1982,1,7
596,Sophie's Choice,1982,1,5
597,Missing,1982,1,4
598,If You Love This Planet,1982,1,1
599,Just Another Missing Kid,1982,1,[2]
600,A Shocking Accident,1982,1,1
601,Tango,1982,1,1
602,To Begin Again,1982,1,1
603,Quest for Fire,1982,1,1
604,Chariots of Fire,1981,4,7
605,Raiders of the Lost Ark,1981,4 (1),8
606,Reds,1981,3,12
607,On Golden Pond,1981,3,10
608,Arthur,1981,2,4
609,An American Werewolf in London,1981,1,1
610,Close Harmony,1981,1,1
611,Crac,1981,1,1
612,Genocide,1981,1,1
613,Mephisto,1981,1,1
614,Violet,1981,1,1
615,Ordinary People,1980,4,6
616,Tess,1980,3,6
617,Raging Bull,1980,2,8
618,Fame,1980,2,6
619,Melvin and Howard,1980,2,3
620,Coal Miner's Daughter,1980,1,7
621,The Empire Strikes Back,1980,1 (1),3
622,The Dollar Bottom,1980,1,1
623,The Fly,1980,1,1
624,From Mao to Mozart: Isaac Stern in China,1980,1,1
625,Karl Hess: Toward Liberty,1980,1,1
626,Moscow Does Not Believe in Tears,1980,1,1
627,Kramer vs. Kramer,1979,5,9
628,All That Jazz,1979,4,9
629,Apocalypse Now,1979,2,8
630,Norma Rae,1979,2,4
631,Breaking Away,1979,1,5
632,Alien,1979,1,2
633,Being There,1979,1,2
634,A Little Romance,1979,1,2
635,Best Boy,1979,1,1
636,Board and Care,1979,1,1
637,Every Child,1979,1,1
638,Paul Robeson: Tribute to an Artist,1979,1,1
639,The Tin Drum,1979,1,1
640,The Black Stallion,1979,0 (1),2
641,The Deer Hunter,1978,5,9
642,Coming Home,1978,3,8
643,Midnight Express,1978,2,6
644,Heaven Can Wait,1978,1,9
645,Days of Heaven,1978,1,4
646,California Suite,1978,1,3
647,The Buddy Holly Story,1978,1,3
648,Death on the Nile,1978,1,1
649,The Flight of the Gossamer Condor,1978,1,1
650,Get Out Your Handkerchiefs,1978,1,1
651,Scared Straight!,1978,1,1
652,Special Delivery,1978,1,1
653,Teenage Father,1978,1,1
654,Thank God It's Friday,1978,1,1
655,Superman,1978,0 (1),3
656,Annie Hall,1977,4,5
657,Star Wars,1977,6 (1),10
658,Julia,1977,3,11
659,Close Encounters of the Third Kind,1977,1 (1),8
660,The Goodbye Girl,1977,1,5
661,A Little Night Music,1977,1,2
662,Gravity Is My Enemy,1977,1,1
663,I'll Find a Way,1977,1,1
664,Madame Rosa,1977,1,1
665,The Sand Castle,1977,1,1
666,Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1
667,You Light Up My Life,1977,1,1
668,Rocky,1976,3,10
669,Network,1976,4,10
670,All the President's Men,1976,4,8
671,Bound for Glory,1976,2,6
672,A Star Is Born,1976,1,4
673,Fellini's Casanova,1976,1,2
674,The Omen,1976,1,2
675,Black and White in Color,1976,1,1
676,"Harlan County, USA",1976,1,1
677,In the Region of Ice,1976,1,1
678,Leisure,1976,1,1
679,Number Our Days,1976,1,1
680,King Kong,1976,0 (1),2
681,Logan's Run,1976,0 (1),2
682,One Flew Over the Cuckoo's Nest,1975,5,9
683,Barry Lyndon,1975,4,7
684,Jaws,1975,3,4
685,Dog Day Afternoon,1975,1,6
686,Nashville,1975,1,5
687,Shampoo,1975,1,4
688,The Sunshine Boys,1975,1,4
689,Angel and Big Joe,1975,1,1
690,Dersu Uzala,1975,1,1
691,The End of the Game,1975,1,1
692,Great,1975,1,1
693,The Man Who Skied Down Everest,1975,1,1
694,The Hindenburg,1975,0 (2),3
695,The Godfather: Part II,1974,6,11
696,The Towering Inferno,1974,3,8
697,The Great Gatsby,1974,2,2
698,Chinatown,1974,1,11
699,Murder on the Orient Express,1974,1,6
700,Earthquake,1974,1 (1),4
701,Alice Doesn't Live Here Anymore,1974,1,3
702,Amarcord,1974,1,[3]
703,Harry and Tonto,1974,1,2
704,Closed Mondays,1974,1,1
705,Don't,1974,1,1
706,Hearts and Minds,1974,1,1
707,One-Eyed Men Are Kings,1974,1,1
708,The Sting,1973,7,10
709,The Exorcist,1973,2,10
710,The Way We Were,1973,2,6
711,Cries and Whispers,1973,1,5
712,A Touch of Class,1973,1,5
713,Day for Night,1973,1,4
714,Paper Moon,1973,1,4
715,The Paper Chase,1973,1,3
716,Save the Tiger,1973,1,3
717,The Bolero,1973,1,1
718,Frank Film,1973,1,1
719,The Great American Cowboy,1973,1,1
720,Princeton: A Search for Answers,1973,1,1
721,The Godfather,1972,3,[4]
722,Cabaret,1972,8,10
723,The Poseidon Adventure,1972,1 (1),8
724,Travels with My Aunt,1972,1,4
725,Butterflies Are Free,1972,1,3
726,The Candidate,1972,1,2
727,The Discreet Charm of the Bourgeoisie,1972,1,2
728,A Christmas Carol,1972,1,[5]
729,Limelight,1972,1,[6]
730,Marjoe,1972,1,1
731,Norman Rockwell's World... An American Dream,1972,1,1
732,This Tiny World,1972,1,1
733,The French Connection,1971,5,8
734,Fiddler on the Roof,1971,3,8
735,The Last Picture Show,1971,2,8
736,Nicholas and Alexandra,1971,2,6
737,Sentinels of Silence,1971,2,2
738,Bedknobs and Broomsticks,1971,1,5
739,Summer of '42,1971,1,4
740,The Garden of the Finzi-Continis,1971,1,2
741,The Hospital,1971,1,2
742,Klute,1971,1,2
743,Shaft,1971,1,2
744,The Crunch Bird,1971,1,1
745,The Hellstrom Chronicle,1971,1,1
